시도명,시군구명,점포빽다방,점포스타벅스,점포이디아,점포커피빈
0,0,18,18,18,18
강원도,강릉시,1,1,1,1
강원도,고성군,1,1,1,1
강원도,동해시,1,1,1,1
강원도,삼척시,1,1,1,1
강원도,속초시,1,1,1,1
강원도,양구군,1,1,1,1
강원도,양양군,1,1,1,1
강원도,원주시,1,1,1,1
강원도,인제군,1,1,1,1
강원도,정선군,1,1,1,1
강원도,철원군,1,1,1,1
강원도,춘천시,1,1,1,1
강원도,태백시,1,1,1,1
강원도,평창군,1,1,1,1
강원도,홍천군,1,1,1,1
강원도,화천군,1,1,1,1
강원도,횡성군,1,1,1,1
경기도,가평군,1,1,1,1
경기도,고양시 덕양구,1,1,1,1
경기도,고양시 일산동구,1,1,1,1
경기도,고양시 일산서구,1,1,1,1
경기도,과천시,1,1,1,1
경기도,광명시,1,1,1,1
경기도,광주시,1,1,1,1
경기도,구리시,1,1,1,1
경기도,군포시,1,1,1,1
경기도,김포시,1,1,1,1
경기도,남양주시,1,1,1,1
경기도,동두천시,1,1,1,1
경기도,부천시,1,1,1,1
경기도,성남시 분당구,1,1,1,1
경기도,성남시 수정구,1,1,1,1
경기도,성남시 중원구,1,1,1,1
경기도,수원시 권선구,1,1,1,1
경기도,수원시 영통구,1,1,1,1
경기도,수원시 장안구,1,1,1,1
경기도,수원시 팔달구,1,1,1,1
경기도,시흥시,1,1,1,1
경기도,안산시 단원구,1,1,1,1
경기도,안산시 상록구,1,1,1,1
경기도,안성시,1,1,1,1
경기도,안양시 동안구,1,1,1,1
경기도,안양시 만안구,1,1,1,1
경기도,양주시,1,1,1,1
경기도,양평군,1,1,1,1
경기도,여주시,1,1,1,1
경기도,연천군,1,1,1,1
경기도,오산시,1,1,1,1
경기도,용인시 기흥구,1,1,1,1
경기도,용인시 수지구,1,1,1,1
경기도,용인시 처인구,1,1,1,1
경기도,의왕시,1,1,1,1
경기도,의정부시,1,1,1,1
경기도,이천시,1,1,1,1
경기도,파주시,1,1,1,1
경기도,평택시,1,1,1,1
경기도,포천시,1,1,1,1
경기도,하남시,1,1,1,1
경기도,화성시,1,1,1,1
경상남도,거제시,1,1,1,1
경상남도,거창군,1,1,1,1
경상남도,고성군,1,1,1,1
경상남도,김해시,1,1,1,1
경상남도,남해군,1,1,1,1
경상남도,밀양시,1,1,1,1
경상남도,사천시,1,1,1,1
경상남도,산청군,1,1,1,1
경상남도,양산시,1,1,1,1
경상남도,진주시,1,1,1,1
경상남도,창녕군,1,1,1,1
경상남도,창원시 성산구,1,1,1,1
경상남도,창원시 의창구,1,1,1,1
경상남도,창원시 진해구,1,1,1,1
경상남도,통영시,1,1,1,1
경상남도,하동군,1,1,1,1
경상남도,함안군,1,1,1,1
경상남도,함양군,1,1,1,1
경상남도,합천군,1,1,1,1
경상북도,경산시,1,1,1,1
경상북도,경주시,1,1,1,1
경상북도,고령군,1,1,1,1
경상북도,구미시,1,1,1,1
경상북도,김천시,1,1,1,1
경상북도,문경시,1,1,1,1
경상북도,봉화군,1,1,1,1
경상북도,상주시,1,1,1,1
경상북도,성주군,1,1,1,1
경상북도,안동시,1,1,1,1
경상북도,영덕군,1,1,1,1
경상북도,영양군,1,1,1,1
경상북도,영주시,1,1,1,1
경상북도,영천시,1,1,1,1
경상북도,예천군,1,1,1,1
경상북도,울진군,1,1,1,1
경상북도,청도군,1,1,1,1
경상북도,청송군,1,1,1,1
경상북도,칠곡군,1,1,1,1
광주광역시,광산구,1,1,1,1
광주광역시,남구,1,1,1,1
광주광역시,동구,1,1,1,1
광주광역시,북구,1,1,1,1
광주광역시,서구,1,1,1,1
대구광역시,남구,1,1,1,1
대구광역시,달서구,1,1,1,1
대구광역시,달성군,1,1,1,1
대구광역시,동구,1,1,1,1
대구광역시,북구,1,1,1,1
대구광역시,서구,1,1,1,1
대구광역시,수성구,1,1,1,1
대구광역시,중구,1,1,1,1
대전광역시,대덕구,1,1,1,1
대전광역시,동구,1,1,1,1
대전광역시,서구,1,1,1,1
대전광역시,유성구,1,1,1,1
대전광역시,중구,1,1,1,1
부산광역시,강서구,1,1,1,1
부산광역시,금정구,1,1,1,1
부산광역시,기장군,1,1,1,1
부산광역시,남구,1,1,1,1
부산광역시,동구,1,1,1,1
부산광역시,동래구,1,1,1,1
부산광역시,부산진구,1,1,1,1
부산광역시,북구,1,1,1,1
부산광역시,사상구,1,1,1,1
부산광역시,사하구,1,1,1,1
부산광역시,서구,1,1,1,1
부산광역시,수영구,1,1,1,1
부산광역시,연제구,1,1,1,1
부산광역시,영도구,1,1,1,1
부산광역시,중구,1,1,1,1
부산광역시,해운대구,1,1,1,1
서울특별시,강남구,1,1,1,1
서울특별시,강동구,1,1,1,1
서울특별시,강북구,1,1,1,1
서울특별시,강서구,1,1,1,1
서울특별시,관악구,1,1,1,1
서울특별시,광진구,1,1,1,1
서울특별시,구로구,1,1,1,1
서울특별시,금천구,1,1,1,1
서울특별시,노원구,1,1,1,1
서울특별시,도봉구,1,1,1,1
서울특별시,동대문구,1,1,1,1
서울특별시,동작구,1,1,1,1
서울특별시,마포구,1,1,1,1
서울특별시,서대문구,1,1,1,1
서울특별시,서초구,1,1,1,1
서울특별시,성동구,1,1,1,1
서울특별시,성북구,1,1,1,1
서울특별시,송파구,1,1,1,1
서울특별시,양천구,1,1,1,1
서울특별시,영등포구,1,1,1,1
서울특별시,용산구,1,1,1,1
서울특별시,은평구,1,1,1,1
서울특별시,종로구,1,1,1,1
서울특별시,중구,1,1,1,1
서울특별시,중랑구,1,1,1,1
울산광역시,남구,1,1,1,1
울산광역시,동구,1,1,1,1
울산광역시,북구,1,1,1,1
울산광역시,울주군,1,1,1,1
울산광역시,중구,1,1,1,1
인천광역시,강화군,1,1,1,1
인천광역시,계양구,1,1,1,1
인천광역시,남동구,1,1,1,1
인천광역시,동구,1,1,1,1
인천광역시,미추홀구,1,1,1,1
인천광역시,부평구,1,1,1,1
인천광역시,서구,1,1,1,1
인천광역시,연수구,1,1,1,1
인천광역시,옹진군,1,1,1,1
인천광역시,중구,1,1,1,1
전라남도,강진군,1,1,1,1
전라남도,고흥군,1,1,1,1
전라남도,곡성군,1,1,1,1
전라남도,광양시,1,1,1,1
전라남도,나주시,1,1,1,1
전라남도,담양군,1,1,1,1
전라남도,목포시,1,1,1,1
전라남도,무안군,1,1,1,1
전라남도,순천시,1,1,1,1
전라남도,여수시,1,1,1,1
전라남도,영광군,1,1,1,1
전라남도,영암군,1,1,1,1
전라남도,완도군,1,1,1,1
전라남도,장성군,1,1,1,1
전라남도,진도군,1,1,1,1
전라남도,해남군,1,1,1,1
전라북도,고창군,1,1,1,1
전라북도,군산시,1,1,1,1
전라북도,김제시,1,1,1,1
전라북도,남원시,1,1,1,1
전라북도,무주군,1,1,1,1
전라북도,부안군,1,1,1,1
전라북도,순창군,1,1,1,1
전라북도,완주군,1,1,1,1
전라북도,익산시,1,1,1,1
전라북도,임실군,1,1,1,1
전라북도,전주시 덕진구,1,1,1,1
전라북도,전주시 완산구,1,1,1,1
전라북도,정읍시,1,1,1,1
제주특별자치도,서귀포시,1,1,1,1
제주특별자치도,제주시,1,1,1,1
충청남도,계룡시,1,1,1,1
충청남도,공주시,1,1,1,1
충청남도,금산군,1,1,1,1
충청남도,논산시,1,1,1,1
충청남도,당진시,1,1,1,1
충청남도,보령시,1,1,1,1
충청남도,부여군,1,1,1,1
충청남도,서산시,1,1,1,1
충청남도,서천군,1,1,1,1
충청남도,아산시,1,1,1,1
충청남도,예산군,1,1,1,1
충청남도,천안시 동남구,1,1,1,1
충청남도,천안시 서북구,1,1,1,1
충청남도,청양군,1,1,1,1
충청남도,태안군,1,1,1,1
충청남도,홍성군,1,1,1,1
충청북도,괴산군,1,1,1,1
충청북도,단양군,1,1,1,1
충청북도,보은군,1,1,1,1
충청북도,영동군,1,1,1,1
충청북도,옥천군,1,1,1,1
충청북도,음성군,1,1,1,1
충청북도,제천시,1,1,1,1
충청북도,증평군,1,1,1,1
충청북도,진천군,1,1,1,1
충청북도,청주시 상당구,1,1,1,1
충청북도,청주시 서원구,1,1,1,1
충청북도,청주시 청원구,1,1,1,1
충청북도,청주시 흥덕구,1,1,1,1
충청북도,충주시,1,1,1,1
